AGEHEAT,ATHOME,CENCDD65,CENH2O,CENHDD65,CENMENBER,CENPDPI,CENPRICES,CENTOTSQFT,CENYEARMADE,CRAWL,DIVISION GROUP,DRAFTY,EDUCATION,HOUSING TYPING,INCOME,KONWRENT,OTHHEAT,RACE,SIZEHEAT,THERMAC,THERMHEAT,TOTKWH,TYPEAC,UR,USEAC,WALLTYPE
41,0,2385.8089937666964,1.0267141585040072,2380.3619768477292,2.6068566340160286,12.453250222617987,1741.7475512021372,2125.2359750667856,1980.0894924309885,-2,5,4,3,5,0,2,0,1,-2,2,1,3303,1,0,1,7
5,0,469.2494669509595,1.0309168443496801,6484.846481876332,2.576759061833689,14.210021321961621,1314.2889125799575,2378.993603411514,1957.1897654584222,0,1,3,3,4,2,2,1,6,-2,0,-2,7376,-2,0,-2,2
3,1,562.5539130434782,1.0095652173913043,6468.218260869565,2.6104347826086958,12.53304347826087,1128.5634782608695,2483.191304347826,1963.4452173913044,-2,3,4,2,5,0,2,1,2,-2,0,-2,1525,-2,0,-2,1
2,0,850.0968694624926,1.0395747194329592,6161.639692852924,2.5002953337271117,12.93325457767277,1124.7714116952156,2589.627288836385,1970.367395156527,0,4,2,2,4,0,2,0,1,1,1,-2,20840,1,0,3,1
1,0,1644.843648208469,1.0407166123778502,3423.630293159609,2.519543973941368,11.62214983713355,1529.5325732899023,2080.6514657980456,1978.4967426710098,0,6,2,2,4,0,2,0,2,-2,1,-2,7508,1,0,2,1
-2,0,1138.521718146718,1.031853281853282,2543.8692084942086,2.85472972972973,13.832528957528957,1082.398166023166,1802.8199806949806,1970.7755791505792,1,10,4,5,2,2,1,-2,4,-2,3,-2,4118,2,0,-2,2
41,1,538.3573033707866,1.049438202247191,6316.21797752809,2.710112359550562,13.692134831460674,876.0202247191012,2390.829213483146,1978.1640449438203,0,8,3,6,2,2,1,0,1,1,0,-2,15542,-2,1,-2,3
3,1,1138.521718146718,1.031853281853282,2543.8692084942086,2.85472972972973,13.832528957528957,1082.398166023166,1802.8199806949806,1970.7755791505792,0,10,4,5,2,2,1,0,1,-2,2,1,26876,1,0,3,2
42,0,2784.213821138211,1.0552845528455284,2047.6349593495936,2.7626016260162602,12.213821138211381,1720.320325203252,1873.419512195122,1977.0894308943089,0,7,4,2,2,1,2,0,1,-2,2,1,18628,1,0,3,1
3,1,562.5539130434782,1.0095652173913043,6468.218260869565,2.6104347826086958,12.53304347826087,1128.5634782608695,2483.191304347826,1963.4452173913044,1,3,4,4,2,1,1,0,1,-2,1,-2,7954,1,0,1,3
3,1,2784.213821138211,1.0552845528455284,2047.6349593495936,2.7626016260162602,12.213821138211381,1720.320325203252,1873.419512195122,1977.0894308943089,-2,7,4,2,5,0,2,0,2,-2,2,1,6727,1,0,3,1
5,1,1138.521718146718,1.031853281853282,2543.8692084942086,2.85472972972973,13.832528957528957,1082.398166023166,1802.8199806949806,1970.7755791505792,-2,10,4,2,1,0,1,0,1,2,3,-2,2624,1,1,3,3
5,0,736.1920180722891,1.0135542168674698,5476.890813253012,2.73644578313253,13.600150602409638,1316.7402108433735,2175.8486445783133,1958.1265060240964,0,2,3,3,3,2,1,0,1,1,1,-2,7383,1,0,3,1
5,0,736.1920180722891,1.0135542168674698,5476.890813253012,2.73644578313253,13.600150602409638,1316.7402108433735,2175.8486445783133,1958.1265060240964,-2,2,3,2,5,0,2,1,1,-2,3,-2,1815,2,0,-2,1
3,0,2385.8089937666964,1.0267141585040072,2380.3619768477292,2.6068566340160286,12.453250222617987,1741.7475512021372,2125.2359750667856,1980.0894924309885,1,5,4,3,2,0,1,0,1,-2,1,-2,13292,1,0,3,1
3,1,850.0968694624926,1.0395747194329592,6161.639692852924,2.5002953337271117,12.93325457767277,1124.7714116952156,2589.627288836385,1970.367395156527,0,4,4,4,2,0,1,0,1,-2,2,1,5453,1,0,3,1
1,0,538.3573033707866,1.049438202247191,6316.21797752809,2.710112359550562,13.692134831460674,876.0202247191012,2390.829213483146,1978.1640449438203,1,8,4,1,2,2,1,0,1,-2,2,1,16240,1,1,2,3
3,0,736.1920180722891,1.0135542168674698,5476.890813253012,2.73644578313253,13.600150602409638,1316.7402108433735,2175.8486445783133,1958.1265060240964,0,2,4,6,4,2,1,1,1,1,3,1,6729,2,0,-2,7
3,0,1644.843648208469,1.0407166123778502,3423.630293159609,2.519543973941368,11.62214983713355,1529.5325732899023,2080.6514657980456,1978.4967426710098,-2,6,2,2,1,0,3,0,1,-2,3,-2,10354,2,1,-2,3
3,1,1138.521718146718,1.031853281853282,2543.8692084942086,2.85472972972973,13.832528957528957,1082.398166023166,1802.8199806949806,1970.7755791505792,0,10,4,7,3,2,1,0,4,-2,1,0,4847,1,0,1,4
2,1,2784.213821138211,1.0552845528455284,2047.6349593495936,2.7626016260162602,12.213821138211381,1720.320325203252,1873.419512195122,1977.0894308943089,0,7,4,7,2,2,1,0,1,-2,2,0,18563,1,0,2,1
1,0,850.0968694624926,1.0395747194329592,6161.639692852924,2.5002953337271117,12.93325457767277,1124.7714116952156,2589.627288836385,1970.367395156527,0,4,3,2,2,2,1,0,1,2,1,-2,22836,3,0,2,2
2,1,850.0968694624926,1.0395747194329592,6161.639692852924,2.5002953337271117,12.93325457767277,1124.7714116952156,2589.627288836385,1970.367395156527,0,4,4,2,2,2,1,0,1,-2,2,1,9660,1,0,3,1
5,1,736.1920180722891,1.0135542168674698,5476.890813253012,2.73644578313253,13.600150602409638,1316.7402108433735,2175.8486445783133,1958.1265060240964,1,2,4,4,2,2,1,0,1,-2,2,-2,4148,1,0,1,5
2,0,2385.8089937666964,1.0267141585040072,2380.3619768477292,2.6068566340160286,12.453250222617987,1741.7475512021372,2125.2359750667856,1980.0894924309885,-2,5,4,4,1,1,1,0,1,1,2,0,12458,1,1,3,3
5,0,1138.521718146718,1.031853281853282,2543.8692084942086,2.85472972972973,13.832528957528957,1082.398166023166,1802.8199806949806,1970.7755791505792,0,10,4,4,2,1,2,0,1,3,0,1,2771,-2,0,-2,4
1,0,736.1920180722891,1.0135542168674698,5476.890813253012,2.73644578313253,13.600150602409638,1316.7402108433735,2175.8486445783133,1958.1265060240964,0,2,4,4,2,2,1,0,1,1,2,1,6719,1,0,2,3
2,1,1644.843648208469,1.0407166123778502,3423.630293159609,2.519543973941368,11.62214983713355,1529.5325732899023,2080.6514657980456,1978.4967426710098,0,6,1,7,2,1,1,0,1,-2,0,-2,8052,-2,0,-2,2
5,1,1644.843648208469,1.0407166123778502,3423.630293159609,2.519543973941368,11.62214983713355,1529.5325732899023,2080.6514657980456,1978.4967426710098,-2,6,1,5,5,1,2,0,1,3,3,-2,8240,2,0,-2,7
5,0,850.0968694624926,1.0395747194329592,6161.639692852924,2.5002953337271117,12.93325457767277,1124.7714116952156,2589.627288836385,1970.367395156527,-2,4,2,2,5,0,2,1,3,-2,3,-2,4069,2,0,-2,3
2,1,1138.521718146718,1.031853281853282,2543.8692084942086,2.85472972972973,13.832528957528957,1082.398166023166,1802.8199806949806,1970.7755791505792,-2,10,3,0,5,0,2,0,4,-2,0,-2,3164,-2,0,-2,4
2,1,736.1920180722891,1.0135542168674698,5476.890813253012,2.73644578313253,13.600150602409638,1316.7402108433735,2175.8486445783133,1958.1265060240964,-2,2,4,6,5,2,2,1,1,-2,3,-2,1243,2,0,-2,1
1,0,562.5539130434782,1.0095652173913043,6468.218260869565,2.6104347826086958,12.53304347826087,1128.5634782608695,2483.191304347826,1963.4452173913044,0,3,3,3,2,2,1,0,1,-2,3,0,22494,2,0,-2,3
42,1,1138.521718146718,1.031853281853282,2543.8692084942086,2.85472972972973,13.832528957528957,1082.398166023166,1802.8199806949806,1970.7755791505792,1,10,3,3,2,0,1,0,7,-2,3,-2,6851,2,0,-2,2
3,1,2385.8089937666964,1.0267141585040072,2380.3619768477292,2.6068566340160286,12.453250222617987,1741.7475512021372,2125.2359750667856,1980.0894924309885,0,5,4,5,2,2,1,0,1,-2,0,-2,15929,-2,0,-2,3
41,1,736.1920180722891,1.0135542168674698,5476.890813253012,2.73644578313253,13.600150602409638,1316.7402108433735,2175.8486445783133,1958.1265060240964,0,2,3,2,2,2,2,0,1,-2,3,-2,10453,2,0,-2,5
